Blue_ADC,Blue_Support,Red_ADC,Red_Support,Bot_Gold_Diff_10,matchID,Blue_Win
Jinx,Janna,Sivir,Orianna,-1687,EUW1_6882489515,1
Jhin,Lulu,Jinx,Janna,-172,EUW1_6882416210,0
Ezreal,Soraka,Ashe,Thresh,-320,EUW1_6881092720,0
Ashe,Senna,Twitch,Janna,1211,EUW1_6879405717,0
Kaisa,Ashe,Kalista,Thresh,-429,EUW1_6879389461,1
Twitch,Nautilus,Jinx,Lulu,-2509,EUW1_6879371828,0
Jinx,Hwei,Zeri,Zyra,310,EUW1_6878383684,1
Samira,Sylas,Zeri,Lulu,482,EUW1_6878298308,1
Caitlyn,Ashe,Zeri,Janna,-997,EUW1_6878182424,1
MissFortune,Pyke,Jinx,Velkoz,-1724,EUW1_6878139143,0
Caitlyn,Karma,Kaisa,Alistar,662,EUW1_6878103014,1
Senna,Rakan,Zeri,Nautilus,-2649,EUW1_6878057215,0
Veigar,Janna,Jinx,Thresh,-1458,EUW1_6878033584,0
Ashe,Taliyah,Jinx,Senna,-130,EUW1_6878003846,1
Xayah,Thresh,Ezreal,Rakan,-102,EUW1_6877975035,1
Ezreal,Bard,Zeri,Braum,-2952,EUW1_6875344552,0
Sivir,Brand,Ezreal,Rakan,-788,EUW1_6875306770,0
Jhin,Xerath,Samira,Rakan,-690,EUW1_6875259973,0
Aphelios,Milio,Smolder,Janna,-335,EUW1_6875217596,1
Nilah,Alistar,Lucian,Janna,-807,EUW1_6875197822,0
Ezreal,Nautilus,Ashe,Leblanc,-1641,EUW1_6879360874,0
Zeri,Milio,Jinx,Lulu,-1190,EUW1_6869300631,0
Draven,Blitzcrank,Samira,Thresh,-869,EUW1_6869276441,0
Kaisa,Lux,Zeri,Janna,-2922,EUW1_6869246594,0
Ezreal,Yuumi,Brand,Ashe,3260,EUW1_6829920333,1
Jinx,Poppy,Zeri,Janna,2872,EUW1_6882482484,1
Jinx,Blitzcrank,Kaisa,Milio,1320,EUW1_6882456043,1
Ezreal,Alistar,Draven,Zyra,401,EUW1_6882436994,1
Varus,Nautilus,Samira,Zilean,1565,EUW1_6882425551,1
Ezreal,Thresh,Jinx,Milio,1130,EUW1_6880935420,1
Caitlyn,Xerath,Ashe,Janna,1055,EUW1_6880909380,1
Zeri,Yuumi,Twitch,Rell,-2694,EUW1_6880890229,0
Sivir,Zilean,Zeri,Pyke,-2076,EUW1_6879474161,0
Zoe,Lulu,Jinx,Janna,1097,EUW1_6879450066,1
Samira,Elise,Jinx,Milio,1303,EUW1_6879424931,0
Jhin,Janna,Ezreal,Rell,639,EUW1_6879325614,0
Ashe,Lulu,Jinx,Nautilus,-384,EUW1_6879310911,0
Ashe,Leona,Yasuo,Lux,-771,EUW1_6878006751,0
Zeri,Rell,Twitch,Camille,505,EUW1_6877969177,0
Morgana,Senna,Jinx,Rell,-152,EUW1_6877956644,1
Zeri,Yuumi,Samira,Rakan,-1357,EUW1_6877891153,0
Samira,Nautilus,Kaisa,Brand,581,EUW1_6877879899,0
Zeri,Blitzcrank,Ezreal,Rakan,-848,EUW1_6877867925,0
Ezreal,Zyra,Aphelios,Janna,-1132,EUW1_6877850091,1
Zeri,Braum,Ezreal,Velkoz,-386,EUW1_6879349198,0
Jinx,Lulu,Kaisa,Rakan,-432,EUW1_6872767863,0
Kaisa,Leona,Xayah,Bard,405,EUW1_6872712198,1
Twitch,Sona,Kaisa,Taric,-297,EUW1_6872638403,1
Kaisa,Pantheon,Jinx,Lulu,1166,EUW1_6872613273,1
Ziggs,Senna,Kaisa,Nautilus,965,EUW1_6870154666,1
Jinx,Milio,Kaisa,Thresh,276,EUW1_6869224469,1
Seraphine,Taric,Kaisa,Soraka,-532,EUW1_6869187175,1
Kaisa,Velkoz,Twitch,Soraka,1262,EUW1_6869159452,1
Ashe,Lissandra,Kaisa,Yuumi,685,EUW1_6867771512,1
Kaisa,Renata,Zeri,Maokai,1710,EUW1_6867736241,1
Ezreal,Thresh,Kaisa,Lulu,368,EUW1_6867728692,1
Aphelios,Zilean,Kaisa,Sona,645,EUW1_6867706172,1
Jinx,Zyra,Kaisa,Lulu,-257,EUW1_6867692806,0
Kaisa,Pyke,Vayne,Janna,1778,EUW1_6867677699,1
Chogath,Senna,Kaisa,Janna,-29,EUW1_6867663986,1
Zeri,Soraka,Kaisa,Renata,809,EUW1_6867658653,1
Ashe,Rakan,Kaisa,Janna,375,EUW1_6866602810,1
Twitch,Milio,Zeri,Nautilus,2606,EUW1_6883322609,1
Jinx,Lulu,Twitch,Milio,-437,EUW1_6883246513,0
Zeri,Pyke,Lucian,Senna,1776,EUW1_6883171691,1
Zeri,Neeko,Ezreal,Karma,-1240,EUW1_6882840815,0
Zeri,Blitzcrank,Jinx,Pyke,1644,EUW1_6882786083,1
Jinx,Milio,Twitch,Yuumi,357,EUW1_6881799024,1
Varus,Janna,Jinx,Neeko,115,EUW1_6881697918,0
Jinx,Neeko,Katarina,Yuumi,148,EUW1_6879962130,0
Varus,Pyke,Jinx,Lulu,-364,EUW1_6879899279,1
Ezreal,Zac,Jinx,Thresh,1273,EUW1_6879616200,0
Kaisa,Leona,Vayne,Neeko,-790,EUW1_6879474038,1
Nilah,Taliyah,Jinx,Milio,747,EUW1_6879440356,1
Zeri,Zyra,Jinx,Karma,-510,EUW1_6879427639,0
Twitch,Lulu,Jinx,Rakan,347,EUW1_6879399367,1
Kaisa,Ashe,Jinx,Neeko,1577,EUW1_6878860917,1
Jinx,Neeko,Kaisa,Lulu,889,EUW1_6878800720,1
Jinx,Neeko,Twitch,Lulu,568,EUW1_6878753644,1
Vayne,Leblanc,Twitch,Neeko,-1990,EUW1_6878702910,0
Malzahar,Blitzcrank,Jinx,Neeko,-1132,EUW1_6878658793,0
Jinx,Karma,Draven,Thresh,695,EUW1_6881065995,0
Twitch,Sona,Lucian,Alistar,994,EUW1_6881016403,0
MissFortune,Volibear,Ashe,Blitzcrank,-1207,EUW1_6880972212,1
Sivir,Nautilus,Seraphine,Sona,1110,EUW1_6880905919,0
Draven,Rakan,Varus,Senna,-806,EUW1_6880887817,0
Ezreal,Pyke,Jinx,Lulu,-1290,EUW1_6880876517,0
MissFortune,Bard,Jinx,Leona,1069,EUW1_6880857669,0
Zeri,Seraphine,Ezreal,Neeko,724,EUW1_6879724981,1
Zeri,Bard,Karthus,Milio,39,EUW1_6879641249,0
Yasuo,Pyke,Jinx,Thresh,95,EUW1_6879605389,0
Xayah,Soraka,Jinx,Janna,-151,EUW1_6879548140,0
Kalista,Thresh,Karthus,Blitzcrank,1288,EUW1_6879516026,1
Lucian,Milio,Samira,Camille,-963,EUW1_6879477830,0
Ezreal,Janna,Kaisa,Karma,-1097,EUW1_6879416454,0
Zeri,Braum,Jinx,Janna,834,EUW1_6879395202,1
Kaisa,Janna,Nilah,Rakan,1685,EUW1_6878727750,0
Kaisa,Rakan,Zeri,Janna,28,EUW1_6878668033,1
Varus,Lulu,Karthus,Sona,-2741,EUW1_6878594652,1
